Aguacates	kg	6,83	5,18	3,97	5,17	0,16	5,19	5,14	0,98
Bananas	kg	1,54	1,28	0,99	1,25	2,12	1,24	1,24	-0,57
Chirimoyas	kg	3,42	2,49	1,80	2,64	-5,86	2,71	3,60	-24,59
Ciruelas claudias	kg	3,00	2,54	2,21	2,63	-3,34	2,66	2,89	-8,04
Ciruelas comunes	kg	3,01	2,05	1,48	2,06	-0,37	2,00	1,96	2,32
Fresón	kg	9,10	6,61	4,81	6,31	4,49	6,14	5,37	14,15
Higos	kg	5,75	4,59	3,76	4,68	-1,84	4,54	4,38	3,67
Kiwis	kg	6,09	3,93	2,21	3,89	0,82	3,89	3,82	1,80
Limones	kg	2,87	2,15	1,50	2,17	-0,88	2,19	2,31	-5,20
Mandarinas Clementinas	kg	3,09	2,18	1,40	2,24	-2,48	2,30	2,63	-12,53
Mandarinas comunes	kg	2,47	1,80	1,25	1,95	-8,16	2,03	2,59	-21,52
Manzanas comunes	kg	3,18	1,96	1,27	1,95	0,86	1,95	1,92	1,56
Manzanas Golden	kg	2,77	1,75	0,93	1,75	0,20	1,76	1,79	-1,61
Manzanas roja	kg	2,94	1,96	1,17	1,96	0,04	1,97	2,01	-2,01
Melocotones comunes	kg	2,66	1,89	1,26	1,89	0,09	1,82	1,61	13,09
Melocotones de carne dura	kg	4,52	2,96	1,85	2,73	7,62	2,72	2,38	13,89
Melones comunes	kg	2,59	1,61	0,72	1,47	8,91	1,47	1,35	9,07
Naranjas tipo Navel	kg	2,98	1,83	0,90	1,89	-3,08	1,88	1,86	1,16
Nectarinas	kg	2,55	1,83	1,36	1,78	2,45	1,78	1,65	7,56
Peras agua o blanquilla	kg	2,79	1,95	1,40	1,93	1,17	1,94	2,02	-4,08
Peras comunes	kg	2,44	1,65	1,15	1,65	0,37	1,66	1,71	-2,97
Peras conferencia	kg	2,77	1,86	1,10	1,88	-0,80	1,90	1,99	-4,31
Peras Ercolina	kg	3,54	2,40	1,66	2,39	0,72	2,36	2,30	2,86
Peras Limonera	kg	2,73	1,82	1,40	1,80	1,13	1,83	1,84	-0,06
Piñas	kg	3,43	1,92	1,14	1,81	5,68	1,85	1,94	-4,85
Platanos de Canarias	kg	2,95	2,12	1,36	2,09	1,82	2,07	2,00	3,78
Pomelos	kg	2,81	2,12	1,66	2,16	-1,83	2,15	2,17	-0,88
Sandías	kg	1,40	0,88	0,51	0,83	5,18	0,81	0,80	1,66
Uvas comunes	kg	4,60	2,79	1,61	2,71	2,77	2,68	2,65	1,21
Uvas Moscatel	kg	3,78	3,00	2,28	3,07	-2,50	3,05	3,24	-5,90
