,Provincia,P-t,INE
0,Tarragona,0,43
3,Illes Balears,107,7
5,Alacant/Alicante,1116,3
6,Castellón/Castelló,30,12
7,Valencia/València,285,46
10,Almería,20,4
11,Cádiz,4326,11
12,Granada,24222,18
13,Huelva,278,21
14,Málaga,45816,29
15,Sevilla,20,41
