Mes,Importado,Exportado
01-Ene-2015,610,2278
01-Feb-2015,266,3837
01-Mar-2015,1329,3421
01-Abr-2015,2004,2988
01-May-2015,2367,1956
01-Jun-2015,1591,1884
01-Jul-2015,443,1297
01-Ago-2015,302,2088
01-Sep-2015,473,2268
01-Oct-2015,166,3731
01-Nov-2015,53,3494
01-Dic-2015,87,3723
