,Provincia,P-t,INE
12,Sevilla,1438,41
10,Huelva,1050,21
7,Almería,495,4
5,Murcia,423,30
11,Málaga,160,29
8,Córdoba,35,14
9,Granada,1,18
0,Alacant/Alicante,0,3
1,Castellón/Castelló,0,12
2,Valencia/València,0,46
