Mes,Importado,Exportado
Enero,9301,1913
Febrero,9542,2007
Marzo,11424,2349
Abril,11310,2165
Mayo,12949,2172
Junio,15430,2301
Julio,10470,2170
Agosto,10663,2079
Septiembre,8323,1805
Octubre,8860,1711
Noviembre,11963,2457
Diciembre,23299,3320
