Mes,Importado,Exportado
01-Ene-2015,1136,11235
01-Feb-2015,584,10002
01-Mar-2015,790,10274
01-Abr-2015,861,9726
01-May-2015,1334,4197
01-Jun-2015,1251,2312
01-Jul-2015,657,1645
01-Ago-2015,810,2505
01-Sep-2015,1091,1664
01-Oct-2015,599,2342
01-Nov-2015,586,6380
01-Dic-2015,1168,10070
