fila,subfila,columna,subcolumna,valor
"081050 Kiwis, frescos",,260 Guinea,IMPORT,
"081050 Kiwis, frescos",,264 Sierra Leona,IMPORT,
"081050 Kiwis, frescos",,268 Liberia,IMPORT,
"081050 Kiwis, frescos",,272 Costa de Marfil,IMPORT,
"081050 Kiwis, frescos",,276 Ghana,IMPORT,
"081050 Kiwis, frescos",,280 Togo,IMPORT,
"081050 Kiwis, frescos",,284 Benin,IMPORT,
"081050 Kiwis, frescos",,288 Nigeria,IMPORT,
"081050 Kiwis, frescos",,302 Camerún,IMPORT,
"081050 Kiwis, frescos",,306 República Centroafricana,IMPORT,
"081050 Kiwis, frescos",,310 Guinea Ecuatorial,IMPORT,
"081050 Kiwis, frescos",,311 Santo Tomé y Príncipe,IMPORT,
"081050 Kiwis, frescos",,314 Gabón,IMPORT,
"081050 Kiwis, frescos",,318 Congo,IMPORT,
"081050 Kiwis, frescos",,322 Rep.Democrática Congo; (Zaire h.31/12/97),IMPORT,
"081050 Kiwis, frescos",,324 Ruanda,IMPORT,
"081050 Kiwis, frescos",,328 Burundi,IMPORT,
"081050 Kiwis, frescos",,329 Santa Elena,IMPORT,
"081050 Kiwis, frescos",,330 Angola,IMPORT,
"081050 Kiwis, frescos",,334 Etiopía,IMPORT,
"081050 Kiwis, frescos",,336 Eritrea,IMPORT,
"081050 Kiwis, frescos",,338 Djibouti,IMPORT,
"081050 Kiwis, frescos",,342 Somalia,IMPORT,
"081050 Kiwis, frescos",,346 Kenia,IMPORT,
"081050 Kiwis, frescos",,350 Uganda,IMPORT,
"081050 Kiwis, frescos",,352 Tanzania,IMPORT,
"081050 Kiwis, frescos",,355 Seychelles,IMPORT,
"081050 Kiwis, frescos",,357 Territorio Británico Indico,IMPORT,
"081050 Kiwis, frescos",,366 Mozambique,IMPORT,
"081050 Kiwis, frescos",,370 Madagascar,IMPORT,
"081050 Kiwis, frescos",,372 Reunión (h.31/12/96),IMPORT,
"081050 Kiwis, frescos",,373 Mauricio,IMPORT,
"081050 Kiwis, frescos",,375 Comoras,IMPORT,
"081050 Kiwis, frescos",,377 Mayotte (h.31/12/94),IMPORT,
"081050 Kiwis, frescos",,378 Zambia,IMPORT,
"081050 Kiwis, frescos",,382 Zimbabwe,IMPORT,
"081050 Kiwis, frescos",,386 Malawi,IMPORT,
"081050 Kiwis, frescos",,388 Sudáfrica (d.01/01/90),IMPORT,
"081050 Kiwis, frescos",,389 Namibia (d.01/01/90),IMPORT,
"081050 Kiwis, frescos",,390 Sudáfrica (incl.Namibia)(h.31/12/89),IMPORT,
"081050 Kiwis, frescos",,391 Botswana,IMPORT,
"081050 Kiwis, frescos",,393 Swazilandia,IMPORT,
"081050 Kiwis, frescos",,395 Lesotho,IMPORT,
"081050 Kiwis, frescos",,400 Estados Unidos,IMPORT,
"081050 Kiwis, frescos",,404 Canadá,IMPORT,
"081050 Kiwis, frescos",,406 Groenlandia,IMPORT,
"081050 Kiwis, frescos",,408 San Pedro y Miquelón,IMPORT,
"081050 Kiwis, frescos",,412 México,IMPORT,"21,68"
"081050 Kiwis, frescos",,413 Bermudas,IMPORT,
"081050 Kiwis, frescos",,416 Guatemala,IMPORT,
"081050 Kiwis, frescos",,421 Belice,IMPORT,
"081050 Kiwis, frescos",,424 Honduras,IMPORT,
"081050 Kiwis, frescos",,428 El Salvador,IMPORT,
"081050 Kiwis, frescos",,432 Nicaragua,IMPORT,
"081050 Kiwis, frescos",,436 Costa Rica,IMPORT,
"081050 Kiwis, frescos",,440 Panamá (h.31/12/80),IMPORT,
"081050 Kiwis, frescos",,442 Panamá (d.01/01/81),IMPORT,
"081050 Kiwis, frescos",,444 Canal de Panamá (h.31/12/80),IMPORT,
"081050 Kiwis, frescos",,446 Anguilla,IMPORT,
"081050 Kiwis, frescos",,448 Cuba,IMPORT,
"081050 Kiwis, frescos",,449 San Cristóbal y Nieves,IMPORT,
"081050 Kiwis, frescos",,450 Indias Occidentales (h.31/12/85),IMPORT,
"081050 Kiwis, frescos",,451 Indias Occidentales (h.31/12/82),IMPORT,
"081050 Kiwis, frescos",,452 Haití,IMPORT,
"081050 Kiwis, frescos",,453 Bahamas,IMPORT,
"081050 Kiwis, frescos",,454 Islas Turcas y Caicos,IMPORT,
"081050 Kiwis, frescos",,455 Indias Occidentales (h.31/12/86),IMPORT,
"081050 Kiwis, frescos",,456 República Dominicana,IMPORT,
"081050 Kiwis, frescos",,457 Islas Virgenes (EEUU),IMPORT,
"081050 Kiwis, frescos",,458 Guadalupe (h.31/12/96),IMPORT,
