Mes,Importado,Exportado
01-Ene-2017,93,9967
01-Feb-2017,429,11453
01-Mar-2017,329,10465
01-Abr-2017,409,10399
01-May-2017,267,7766
01-Jun-2017,286,16865
01-Jul-2017,352,20427
01-Ago-2017,871,13827
01-Sep-2017,1201,12366
01-Oct-2017,399,12627
01-Nov-2017,321,10770
01-Dic-2017,449,12273
