Mes,Importado,Exportado
Enero,76088,17773
Febrero,73427,11377
Marzo,90678,9892
Abril,96258,12452
Mayo,62556,32081
Junio,29815,48477
Julio,11666,32203
Agosto,14961,14777
Septiembre,21067,27064
Octubre,37031,28066
Noviembre,76928,31277
Diciembre,91595,21403
