Mes,Importado,Exportado
01-Ene-2015,572,1358
01-Feb-2015,1628,906
01-Mar-2015,3253,2356
01-Abr-2015,8088,13363
01-May-2015,16534,87470
01-Jun-2015,10766,156870
01-Jul-2015,3311,227833
01-Ago-2015,903,115862
01-Sep-2015,108,29601
01-Oct-2015,346,7748
01-Nov-2015,468,1527
01-Dic-2015,363,9693
