Mes,Importado,Exportado
Enero,3090,2977
Febrero,2527,1533
Marzo,2871,1675
Abril,4145,2414
Mayo,3363,1465
Junio,2742,2808
Julio,1978,24460
Agosto,627,29987
Septiembre,1247,24669
Octubre,2486,27247
Noviembre,3841,16326
Diciembre,5301,13629
