Mes,Importado,Exportado
01-Ene-2015,765,61218
01-Feb-2015,352,61011
01-Mar-2015,413,68188
01-Abr-2015,1262,70593
01-May-2015,597,71516
01-Jun-2015,2049,68898
01-Jul-2015,13836,45992
01-Ago-2015,16128,26306
01-Sep-2015,7763,20473
01-Oct-2015,1908,38241
01-Nov-2015,1538,46558
01-Dic-2015,2194,59880
