Mes,Importado,Exportado
01-Ene-2015,1,153
01-Feb-2015,0,176
01-Mar-2015,0,520
01-Abr-2015,1,486
01-May-2015,4,790
01-Jun-2015,8,1099
01-Jul-2015,3,492
01-Ago-2015,142,40
01-Sep-2015,7,46
01-Oct-2015,10,101
01-Nov-2015,4,142
01-Dic-2015,5,608
