fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,004 Alemania,3  Carretera,"69597,15"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,004 Alemania,3  Carretera,"255668,70"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,004 Alemania,3  Carretera,"226014,90"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,004 Alemania,3  Carretera,"531190,28"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,004 Alemania,3  Carretera,"480292,82"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,004 Alemania,3  Carretera,"13468538,30"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,Total modo transporte,"2516139,12"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,005 Italia,Total modo transporte,"455519,85"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,005 Italia,Total modo transporte,"732392,39"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,005 Italia,Total modo transporte,"793200,77"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,005 Italia,Total modo transporte,"428535,89"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,005 Italia,Total modo transporte,"67090,65"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,005 Italia,Total modo transporte,"39399,57"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,3  Carretera,"2516139,12"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,005 Italia,3  Carretera,"455519,85"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,005 Italia,3  Carretera,"732392,39"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,005 Italia,3  Carretera,"793200,77"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,005 Italia,3  Carretera,"428535,89"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,005 Italia,3  Carretera,"67090,65"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,005 Italia,3  Carretera,"39399,57"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,Total modo transporte,"5684304,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,006 Reino Unido,Total modo transporte,"308694,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,006 Reino Unido,Total modo transporte,"1110661,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,006 Reino Unido,Total modo transporte,"23380,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,006 Reino Unido,Total modo transporte,"302548,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,006 Reino Unido,Total modo transporte,"1349385,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,006 Reino Unido,Total modo transporte,"2589636,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,1  Marítimo,"665670,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,006 Reino Unido,1  Marítimo,"75100,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,006 Reino Unido,1  Marítimo,"289810,00"
