Mes,Importado,Exportado
01-Ene-2015,352,362
01-Feb-2015,444,517
01-Mar-2015,908,1677
01-Abr-2015,1704,4620
01-May-2015,1724,12538
01-Jun-2015,750,5116
01-Jul-2015,33,1633
01-Ago-2015,138,1724
01-Sep-2015,41,82
01-Oct-2015,197,503
01-Nov-2015,290,726
01-Dic-2015,325,753
