Mes,Importado,Exportado
01-Ene-2015,12,4231
01-Feb-2015,29,3881
01-Mar-2015,45,4664
01-Abr-2015,238,3292
01-May-2015,79,697
01-Jun-2015,74,215
01-Jul-2015,61,343
01-Ago-2015,99,128
01-Sep-2015,65,167
01-Oct-2015,54,1155
01-Nov-2015,14,3105
01-Dic-2015,11,4345
