,Importado [Ton.],Exportado [Ton.]
Enero,1335,98257
Febrero,1132,76942
Marzo,884,55347
Abril,496,33210
Mayo,218,19869
Junio,98,15637
Julio,327,23479
Agosto,176,6121
Septiembre,304,19119
Octubre,119,68584
Noviembre,1083,92976
Diciembre,1374,115414
