Mes,Importado,Exportado
01-Ene-2015,5,24
01-Feb-2015,1,30
01-Mar-2015,0,46
01-Abr-2015,1,251
01-May-2015,131,24681
01-Jun-2015,309,31889
01-Jul-2015,511,13177
01-Ago-2015,456,3547
01-Sep-2015,236,3797
01-Oct-2015,12,1492
01-Nov-2015,24,693
01-Dic-2015,24,215
