Mes,Importado,Exportado
01-Ene-2015,1335,98257
01-Feb-2015,1132,76942
01-Mar-2015,884,55347
01-Abr-2015,496,33210
01-May-2015,218,19869
01-Jun-2015,98,15637
01-Jul-2015,327,23479
01-Ago-2015,176,6121
01-Sep-2015,304,19119
01-Oct-2015,119,68584
01-Nov-2015,1083,92976
01-Dic-2015,1374,115414
