Mes,Importado,Exportado
01-Ene-2015,496,778
01-Feb-15,437,641
01-Mar-15,481,991
01-Abr-2015,404,827
01-May-15,462,560
01-Jun-15,344,381
01-Jul-15,363,155
01-Ago-2015,595,111
01-Sep-15,280,211
01-Oct-15,346,321
01-Nov-15,192,593
01-Dic-2015,299,687
