,Importado [Ton.],Exportado [Ton.]
Enero,304,8463
Febrero,74,8202
Marzo,15,9569
Abril,19,9910
Mayo,190,6140
Junio,1392,1930
Julio,1844,966
Agosto,849,806
Septiembre,447,749
Octubre,247,5515
Noviembre,63,7377
Diciembre,886,6015
