Mes,Importado,Exportado
01-Ene-2015,169,16542
01-Feb-2015,10,6505
01-Mar-2015,28,1587
01-Abr-2015,0,544
01-May-2015,50,179
01-Jun-2015,8,186
01-Jul-2015,11,175
01-Ago-2015,44,253
01-Sep-2015,22,1616
01-Oct-2015,12,43294
01-Nov-2015,33,64231
01-Dic-2015,112,49913
