Mes,Importado,Exportado
01-Ene-2015,62,1040
01-Feb-2015,116,938
01-Mar-2015,5,1095
01-Abr-2015,104,2293
01-May-2015,1068,37167
01-Jun-2015,198,81914
01-Jul-2015,612,102737
01-Ago-2015,919,81725
01-Sep-2015,761,49140
01-Oct-2015,131,14106
01-Nov-2015,461,5465
01-Dic-2015,118,1720
