,Importado [Ton.],Exportado [Ton.]
Enero,2664,88298
Febrero,4637,89450
Marzo,4630,85180
Abril,3445,57551
Mayo,4965,37919
Junio,3298,26883
Julio,2291,30074
Agosto,1141,12890
Septiembre,870,15381
Octubre,863,45783
Noviembre,1277,78051
Diciembre,2519,104394
