,Provincia,P-t,INE
3,Pontevedra,6018,36
0,A Coruña,4373,15
30,Valencia,2700,46
19,Huesca,2580,22
6,Asturias,2250,33
12,Vizcaya,878,48
11,Gipuzkoa,544,20
15,Navarra,376,31
1,Lugo,279,27
2,Ourense,274,32
23,Lleida,246,25
22,Barcelona,160,8
33,Cáceres,122,10
24,Tarragona,84,43
27,Islas Baleares,67,7
10,Álava,56,1
17,La Rioja,42,26
29,Castellón,40,12
8,Cantabria,2,39
36,Huelva,0,21
