Mes,Importado,Exportado
01-Ene-2015,1806,243242
01-Feb-2015,915,261528
01-Mar-2015,1401,291236
01-Abr-2015,1231,263538
01-May-2015,2073,185770
01-Jun-2015,5356,90215
01-Jul-2015,15795,46941
01-Ago-2015,28265,17809
01-Sep-2015,42831,11265
01-Oct-2015,24646,41744
01-Nov-2015,2870,192593
01-Dic-2015,5314,245196
