Mes,Importado,Exportado
01-Ene-2015,1188,6663
01-Feb-2015,2138,6758
01-Mar-2015,2222,9505
01-Abr-2015,871,17180
01-May-2015,630,21839
01-Jun-2015,762,11108
01-Jul-2015,219,6962
01-Ago-2015,951,4053
01-Sep-2015,1411,5270
01-Oct-2015,1490,4130
01-Nov-2015,781,4937
01-Dic-2015,1050,7003
