Mes,Importado,Exportado
Enero,169,16542
Febrero,10,6505
Marzo,28,1587
Abril,0,544
Mayo,50,179
Junio,8,186
Julio,11,175
Agosto,44,253
Septiembre,22,1616
Octubre,12,43294
Noviembre,33,64231
Diciembre,112,49913
