Mes,Importado,Exportado
01-Ene-2015,1,17
01-Feb-2015,17,20
01-Mar-2015,1,179
01-Abr-2015,2,380
01-May-2015,2,211
01-Jun-2015,10,573
01-Jul-2015,55,333
01-Ago-2015,34,553
01-Sep-2015,32,365
01-Oct-2015,34,367
01-Nov-2015,34,215
01-Dic-2015,11,58
