Mes,Importado,Exportado
01-Ene-2015,304,8463
01-Feb-2015,74,8202
01-Mar-2015,15,9569
01-Abr-2015,19,9910
01-May-2015,190,6140
01-Jun-2015,1392,1930
01-Jul-2015,1844,966
01-Ago-2015,849,806
01-Sep-2015,447,749
01-Oct-2015,247,5515
01-Nov-2015,63,7377
01-Dic-2015,886,6015
