Mes,Importado,Exportado
01-Ene-2015,2664,88298
01-Feb-2015,4637,89450
01-Mar-2015,4630,85180
01-Abr-2015,3445,57551
01-May-2015,4965,37919
01-Jun-2015,3298,26883
01-Jul-2015,2291,30074
01-Ago-2015,1141,12890
01-Sep-2015,870,15381
01-Oct-2015,863,45783
01-Nov-2015,1277,78051
01-Dic-2015,2519,104394
