,Importado [Ton.],Exportado [Ton.]
Enero,40,187
Febrero,249,61
Marzo,254,253
Abril,146,1451
Mayo,2663,61048
Junio,2061,99506
Julio,3514,124344
Agosto,1937,97389
Septiembre,1272,60059
Octubre,57,20757
Noviembre,159,4246
Diciembre,615,861
