fila,subfila,columna,subcolumna,valor
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,Total modo transporte,"15888,63"
0702 Tomates frescos o refrigerados,Enero de 2017,Total Mundo,Total modo transporte,"8569,79"
0702 Tomates frescos o refrigerados,Febrero de 2017,Total Mundo,Total modo transporte,"7318,84"
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,1  Marítimo,"11955,23"
0702 Tomates frescos o refrigerados,Enero de 2017,Total Mundo,1  Marítimo,"6251,97"
0702 Tomates frescos o refrigerados,Febrero de 2017,Total Mundo,1  Marítimo,"5703,26"
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,3  Carretera,"3933,40"
0702 Tomates frescos o refrigerados,Enero de 2017,Total Mundo,3  Carretera,"2317,82"
0702 Tomates frescos o refrigerados,Febrero de 2017,Total Mundo,3  Carretera,"1615,59"
0702 Tomates frescos o refrigerados,Total seleccionado,001 Francia,Total modo transporte,"1292,65"
0702 Tomates frescos o refrigerados,Enero de 2017,001 Francia,Total modo transporte,"483,21"
0702 Tomates frescos o refrigerados,Febrero de 2017,001 Francia,Total modo transporte,"809,44"
0702 Tomates frescos o refrigerados,Total seleccionado,001 Francia,3  Carretera,"1292,65"
0702 Tomates frescos o refrigerados,Enero de 2017,001 Francia,3  Carretera,"483,21"
0702 Tomates frescos o refrigerados,Febrero de 2017,001 Francia,3  Carretera,"809,44"
0702 Tomates frescos o refrigerados,Total seleccionado,003 Países Bajos,Total modo transporte,"390,30"
0702 Tomates frescos o refrigerados,Enero de 2017,003 Países Bajos,Total modo transporte,"322,73"
0702 Tomates frescos o refrigerados,Febrero de 2017,003 Países Bajos,Total modo transporte,"67,57"
0702 Tomates frescos o refrigerados,Total seleccionado,003 Países Bajos,3  Carretera,"390,30"
0702 Tomates frescos o refrigerados,Enero de 2017,003 Países Bajos,3  Carretera,"322,73"
0702 Tomates frescos o refrigerados,Febrero de 2017,003 Países Bajos,3  Carretera,"67,57"
0702 Tomates frescos o refrigerados,Total seleccionado,004 Alemania,Total modo transporte,"286,95"
0702 Tomates frescos o refrigerados,Enero de 2017,004 Alemania,Total modo transporte,"286,95"
0702 Tomates frescos o refrigerados,Febrero de 2017,004 Alemania,Total modo transporte,
0702 Tomates frescos o refrigerados,Total seleccionado,004 Alemania,3  Carretera,"286,95"
0702 Tomates frescos o refrigerados,Enero de 2017,004 Alemania,3  Carretera,"286,95"
0702 Tomates frescos o refrigerados,Febrero de 2017,004 Alemania,3  Carretera,
0702 Tomates frescos o refrigerados,Total seleccionado,005 Italia,Total modo transporte,"25,62"
0702 Tomates frescos o refrigerados,Enero de 2017,005 Italia,Total modo transporte,"13,29"
0702 Tomates frescos o refrigerados,Febrero de 2017,005 Italia,Total modo transporte,"12,33"
0702 Tomates frescos o refrigerados,Total seleccionado,005 Italia,1  Marítimo,"0,60"
0702 Tomates frescos o refrigerados,Enero de 2017,005 Italia,1  Marítimo,
0702 Tomates frescos o refrigerados,Febrero de 2017,005 Italia,1  Marítimo,"0,60"
0702 Tomates frescos o refrigerados,Total seleccionado,005 Italia,3  Carretera,"25,02"
0702 Tomates frescos o refrigerados,Enero de 2017,005 Italia,3  Carretera,"13,29"
0702 Tomates frescos o refrigerados,Febrero de 2017,005 Italia,3  Carretera,"11,74"
0702 Tomates frescos o refrigerados,Total seleccionado,006 Reino Unido,Total modo transporte,"3,15"
0702 Tomates frescos o refrigerados,Enero de 2017,006 Reino Unido,Total modo transporte,"2,83"
0702 Tomates frescos o refrigerados,Febrero de 2017,006 Reino Unido,Total modo transporte,"0,33"
0702 Tomates frescos o refrigerados,Total seleccionado,006 Reino Unido,3  Carretera,"3,15"
0702 Tomates frescos o refrigerados,Enero de 2017,006 Reino Unido,3  Carretera,"2,83"
0702 Tomates frescos o refrigerados,Febrero de 2017,006 Reino Unido,3  Carretera,"0,33"
0702 Tomates frescos o refrigerados,Total seleccionado,009 Grecia,Total modo transporte,"5,11"
0702 Tomates frescos o refrigerados,Enero de 2017,009 Grecia,Total modo transporte,"5,11"
0702 Tomates frescos o refrigerados,Febrero de 2017,009 Grecia,Total modo transporte,
0702 Tomates frescos o refrigerados,Total seleccionado,009 Grecia,3  Carretera,"5,11"
0702 Tomates frescos o refrigerados,Enero de 2017,009 Grecia,3  Carretera,"5,11"
0702 Tomates frescos o refrigerados,Febrero de 2017,009 Grecia,3  Carretera,
