,producto,fecha,pais,transporte,Ton,tipo,Percent
197,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Lituania,Carretera,3.0,import,1.4326094087386973e-05
205,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Polonia,Carretera,1319.92,import,0.006303099369274605
206,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Polonia,Carretera,466.72,import,0.0022287582108217498
207,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Polonia,Carretera,38.06,import,0.00018175038032198276
217,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Eslovaquia,Carretera,1.95,import,9.311961156801533e-06
221,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Eslovaquia,Carretera,2.7,import,1.2893484678648277e-05
229,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Rumanía,Carretera,20.74,import,9.904106379080193e-05
230,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Rumanía,Carretera,38.55,import,0.0001840903090229226
233,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Rumanía,Carretera,3.6,import,1.7191312904864368e-05
241,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Eslovenia,Carretera,2.42,import,1.1556382563825492e-05
245,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Eslovenia,Carretera,7.97,import,3.805965662549139e-05
253,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Macedonia (d.01/01/00); R.Yug.Macedonia (h.31/12/99),Carretera,20.55,import,9.813374449860077e-05
265,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Marruecos,Marítimo,1064.87,import,0.005085142603611922
266,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Marruecos,Marítimo,1113.21,import,0.005315983733006685
267,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Marruecos,Marítimo,1768.8,import,0.00844666507392336
268,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Marruecos,Marítimo,5335.19,import,0.025477477971362034
269,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Marruecos,Marítimo,7326.4,import,0.03498623190727731
271,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Marruecos,Carretera,57.2,import,0.00027315086059951163
272,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Marruecos,Carretera,68.77,import,0.0003284018301298674
273,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Marruecos,Carretera,49.51,import,0.000236428306088843
274,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Marruecos,Carretera,284.32,import,0.0013577316903086215
275,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Marruecos,Carretera,328.38,import,0.001568134258805378
287,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Egipto,Carretera,15.12,import,7.220351420043035e-05
295,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Costa de Marfil,Carretera,158.32,import,0.0007560357386383685
297,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Costa de Marfil,Carretera,95.4,import,0.0004555697919789058
307,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Sudáfrica,Carretera,19.8,import,9.455222097675402e-05
308,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Sudáfrica,Carretera,19.8,import,9.455222097675402e-05
309,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Sudáfrica,Carretera,18.38,import,8.777120310872419e-05
319,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, México,Carretera,0.01,import,4.775364695795658e-08
320,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, México,Carretera,0.01,import,4.775364695795658e-08
333,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Colombia,Carretera,0.07,import,3.342755287056961e-07
334,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Colombia,Carretera,0.12,import,5.730437634954789e-07
335,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Colombia,Carretera,0.08,import,3.8202917566365266e-07
344,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Surinam,Carretera,3.07,import,1.4660369616092668e-05
345,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Surinam,Carretera,1.34,import,6.398988692366182e-06
355,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Ecuador,Carretera,19.8,import,9.455222097675402e-05
367,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Nueva Zelanda,Carretera,36.18,import,0.0001727726946938869
368,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Nueva Zelanda,Carretera,21.84,import,0.00010429396495617716
13,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Francia,Carretera,483.21,import,0.0023075039746554196
14,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Francia,Carretera,809.44,import,0.0038653711993648374
19,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Países Bajos,Carretera,322.73,import,0.0015411534482741328
20,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Países Bajos,Carretera,67.57,import,0.00032267139249491256
25,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Alemania,Carretera,286.95,import,0.001370290899458564
32,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Italia,Marítimo,0.6,import,2.8652188174773946e-06
34,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Italia,Carretera,13.29,import,6.346459680712428e-05
35,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Italia,Carretera,11.74,import,5.6062781528641024e-05
40,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Reino Unido,Carretera,2.83,import,1.3514282089101713e-05
41,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Reino Unido,Carretera,0.33,import,1.5758703496125672e-06
46,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Grecia,Carretera,5.11,import,2.4402113595515814e-05
