Mes,Importado,Exportado
01-Ene-2015,3040,1006
01-Feb-2015,2378,1204
01-Mar-2015,1323,1491
01-Abr-2015,1481,1493
01-May-2015,1088,4722
01-Jun-2015,896,5901
01-Jul-2015,525,4104
01-Ago-2015,305,915
01-Sep-2015,1114,636
01-Oct-2015,2172,831
01-Nov-2015,1759,1048
01-Dic-2015,3116,832
