Mes,Importado,Exportado
Enero,1471,23202
Febrero,1308,26848
Marzo,794,33241
Abril,241,36732
Mayo,86,29850
Junio,66,11440
Julio,27,12930
Agosto,47,3327
Septiembre,32,11703
Octubre,181,31272
Noviembre,2126,28875
Diciembre,3831,26911
