Mes,Importado,Exportado
01-Ene-2015,818.45,52719.48
01-Feb-2015,201.19,54648.03
01-Mar-2015,148.09,58349.07
01-Abr-2015,470.42,47438.30
01-May-2015,355.56,39206.88
01-Jun-2015,457.16,18091.90
01-Jul-2015,561.08,4763.05
01-Ago-2015,691.08,3754.55
01-Sep-2015,1332.53,3803.33
01-Oct-2015,597.50,12173.53
01-Nov-2015,362.05,30872.47
01-Dic-2015,450.23,43878.25
