Mes,Importado,Exportado
01-Ene-2015,496,778
01-Feb-2015,437,641
01-Mar-2015,481,991
01-Abr-2015,404,827
01-May-2015,462,560
01-Jun-2015,344,381
01-Jul-2015,363,155
01-Ago-2015,595,111
01-Sep-2015,280,211
01-Oct-2015,346,321
01-Nov-2015,192,593
01-Dic-2015,299,687
