Mes,Importado,Exportado
01-Ene-2015,7405,1663
01-Feb-2015,7599,1674
01-Mar-2015,10459,3829
01-Abr-2015,10333,5199
01-May-2015,4661,44582
01-Jun-2015,744,101813
01-Jul-2015,574,137686
01-Ago-2015,192,83209
01-Sep-2015,744,37122
01-Oct-2015,6972,7569
01-Nov-2015,10448,4672
01-Dic-2015,12964,5681
