Mes,Importado,Exportado
Enero,854,284
Febrero,1078,359
Marzo,795,1922
Abril,247,7125
Mayo,111,6248
Junio,591,2702
Julio,859,746
Agosto,681,216
Septiembre,736,203
Octubre,957,920
Noviembre,929,268
Diciembre,988,307
