Mes,Importado,Exportado
01-Ene-2015,49,12953
01-Feb-2015,5,11865
01-Mar-2015,6,13115
01-Abr-2015,18,12493
01-May-2015,3,10754
01-Jun-2015,16,3420
01-Jul-2015,57,2806
01-Ago-2015,10,1093
01-Sep-2015,82,1079
01-Oct-2015,70,1561
01-Nov-2015,87,6503
01-Dic-2015,49,10176
