Tiempo;Peso, Tm;Peso, Tm
2015;2,659.36;1,659.92
Enero;188.05;142.49
Febrero;222.23;151.72
Marzo;257.69;148.66
Abril;226.40;141.43
Mayo;194.53;159.02
Junio;178.97;132.54
Julio;294.38;162.79
Agosto;201.64;142.02
Septiembre;251.78;137.71
Octubre;234.31;94.73
Noviembre;174.28;128.67
Diciembre;235.11;118.14
