Mes,Importado,Exportado
01-Ene-2015,7427,1265
01-Feb-2015,9729,1466
01-Mar-2015,12108,1832
01-Abr-2015,11141,3470
01-May-2015,13894,1451
01-Jun-2015,13528,1604
01-Jul-2015,14944,1063
01-Ago-2015,17748,1037
01-Sep-2015,8991,1119
01-Oct-2015,17024,1446
01-Nov-2015,10971,2936
01-Dic-2015,10814,1351
