Mes,Importado,Exportado
01-Ene-2015,3376,6193
01-Feb-2015,4151,5991
01-Mar-2015,6899,7016
01-Abr-2015,6339,5878
01-May-2015,4661,3652
01-Jun-2015,3199,1729
01-Jul-2015,2647,8770
01-Ago-2015,1371,16304
01-Sep-2015,2072,16522
01-Oct-2015,3714,10792
01-Nov-2015,5610,8867
01-Dic-2015,5429,4853
