fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,Total modo transporte,"32720112,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,003 Países Bajos,Total modo transporte,"6783462,65"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,003 Países Bajos,Total modo transporte,"4451589,90"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,003 Países Bajos,Total modo transporte,"10871076,16"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,003 Países Bajos,Total modo transporte,"6649119,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,003 Países Bajos,Total modo transporte,"2582864,29"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,003 Países Bajos,Total modo transporte,"1382000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,3  Carretera,"32720112,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,003 Países Bajos,3  Carretera,"6783462,65"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,003 Países Bajos,3  Carretera,"4451589,90"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,003 Países Bajos,3  Carretera,"10871076,16"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,003 Países Bajos,3  Carretera,"6649119,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,003 Países Bajos,3  Carretera,"2582864,29"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,003 Países Bajos,3  Carretera,"1382000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,Total modo transporte,"992009,65"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,004 Alemania,Total modo transporte,"268405,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,004 Alemania,Total modo transporte,"46928,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,004 Alemania,Total modo transporte,"61316,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,004 Alemania,Total modo transporte,"243389,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,004 Alemania,Total modo transporte,"22814,32"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,004 Alemania,Total modo transporte,"349157,33"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,1  Marítimo,"1302,00"
