Mes,Importado,Exportado
Enero,2953,1278
Febrero,3224,1430
Marzo,4100,1831
Abril,3140,1822
Mayo,3123,1304
Junio,3518,1811
Julio,2844,1131
Agosto,2151,1316
Septiembre,1418,5540
Octubre,1879,5763
Noviembre,2849,2448
Diciembre,4800,2697
