Mes,Importado,Exportado
01-Ene-2015,3090,2977
01-Feb-2015,2527,1533
01-Mar-2015,2871,1675
01-Abr-2015,4145,2414
01-May-2015,3363,1465
01-Jun-2015,2742,2808
01-Jul-2015,1978,24460
01-Ago-2015,627,29987
01-Sep-2015,1247,24669
01-Oct-2015,2486,27247
01-Nov-2015,3841,16326
01-Dic-2015,5301,13629
