Mes,Importado,Exportado
01-Ene-2015,9037,1522
01-Feb-2015,7705,1292
01-Mar-2015,11070,2336
01-Abr-2015,11082,2744
01-May-2015,7942,2418
01-Jun-2015,5401,1695
01-Jul-2015,8487,1503
01-Ago-2015,3206,730
01-Sep-2015,14121,1100
01-Oct-2015,12895,1762
01-Nov-2015,10318,2112
01-Dic-2015,7287,1958
