,YEAR,TIPO,product,unit,variable,value,DATE
466,2014,mercado,Patata,kg,S39,0.25,2014-09-29
467,2014,consumo,Patata,kg,S39,0.89,2014-09-29
468,2017,origen,Patata ,kg,S40,,2017-10-02
469,2017,mercado,Patata,kg,S40,,2017-10-02
470,2017,consumo,Patata,kg,S40,,2017-10-02
471,2016,origen,Patata ,kg,S40,0.28,2016-10-03
472,2016,mercado,Patata,kg,S40,0.43,2016-10-03
473,2016,consumo,Patata,kg,S40,1.06,2016-10-03
474,2015,origen,Patata ,kg,S40,0.19,2015-10-05
475,2015,mercado,Patata,kg,S40,0.34,2015-10-05
476,2015,consumo,Patata,kg,S40,0.94,2015-10-05
477,2014,origen,Patata ,kg,S40,0.09,2014-10-06
478,2014,mercado,Patata,kg,S40,0.23,2014-10-06
479,2014,consumo,Patata,kg,S40,0.89,2014-10-06
480,2017,origen,Patata ,kg,S41,,2017-10-09
481,2017,mercado,Patata,kg,S41,,2017-10-09
482,2017,consumo,Patata,kg,S41,,2017-10-09
483,2016,origen,Patata ,kg,S41,0.25,2016-10-10
484,2016,mercado,Patata,kg,S41,0.42,2016-10-10
485,2016,consumo,Patata,kg,S41,1.06,2016-10-10
486,2015,origen,Patata ,kg,S41,0.19,2015-10-12
487,2015,mercado,Patata,kg,S41,0.35,2015-10-12
488,2015,consumo,Patata,kg,S41,0.93,2015-10-12
489,2014,origen,Patata ,kg,S41,0.07,2014-10-13
490,2014,mercado,Patata,kg,S41,0.22,2014-10-13
491,2014,consumo,Patata,kg,S41,0.88,2014-10-13
492,2017,origen,Patata ,kg,S42,,2017-10-16
493,2017,mercado,Patata,kg,S42,,2017-10-16
494,2017,consumo,Patata,kg,S42,,2017-10-16
495,2016,origen,Patata ,kg,S42,0.22,2016-10-17
496,2016,mercado,Patata,kg,S42,0.4,2016-10-17
497,2016,consumo,Patata,kg,S42,1.06,2016-10-17
498,2015,origen,Patata ,kg,S42,0.19,2015-10-19
499,2015,mercado,Patata,kg,S42,0.38,2015-10-19
500,2015,consumo,Patata,kg,S42,0.93,2015-10-19
501,2014,origen,Patata ,kg,S42,0.09,2014-10-20
502,2014,mercado,Patata,kg,S42,0.21,2014-10-20
503,2014,consumo,Patata,kg,S42,0.88,2014-10-20
504,2017,origen,Patata ,kg,S43,,2017-10-23
505,2017,mercado,Patata,kg,S43,,2017-10-23
506,2017,consumo,Patata,kg,S43,,2017-10-23
507,2016,origen,Patata ,kg,S43,0.21,2016-10-24
508,2016,mercado,Patata,kg,S43,0.4,2016-10-24
509,2016,consumo,Patata,kg,S43,1.07,2016-10-24
510,2015,origen,Patata ,kg,S43,0.19,2015-10-26
511,2015,mercado,Patata,kg,S43,0.38,2015-10-26
512,2015,consumo,Patata,kg,S43,0.94,2015-10-26
513,2014,origen,Patata ,kg,S43,0.07,2014-10-27
514,2014,mercado,Patata,kg,S43,0.22,2014-10-27
515,2014,consumo,Patata,kg,S43,0.87,2014-10-27
516,2017,origen,Patata ,kg,S44,,2017-10-30
517,2017,mercado,Patata,kg,S44,,2017-10-30
518,2017,consumo,Patata,kg,S44,,2017-10-30
519,2016,origen,Patata ,kg,S44,0.23,2016-10-31
520,2016,mercado,Patata,kg,S44,0.4,2016-10-31
521,2016,consumo,Patata,kg,S44,1.07,2016-10-31
522,2015,origen,Patata ,kg,S44,0.2,2015-11-02
523,2015,mercado,Patata,kg,S44,0.37,2015-11-02
524,2015,consumo,Patata,kg,S44,0.94,2015-11-02
525,2014,origen,Patata ,kg,S44,0.07,2014-11-03
526,2014,mercado,Patata,kg,S44,0.22,2014-11-03
527,2014,consumo,Patata,kg,S44,0.86,2014-11-03
528,2017,origen,Patata ,kg,S45,,2017-11-06
529,2017,mercado,Patata,kg,S45,,2017-11-06
530,2017,consumo,Patata,kg,S45,,2017-11-06
531,2016,origen,Patata ,kg,S45,0.22,2016-11-07
532,2016,mercado,Patata,kg,S45,0.4,2016-11-07
533,2016,consumo,Patata,kg,S45,1.06,2016-11-07
534,2015,origen,Patata ,kg,S45,0.2,2015-11-09
535,2015,mercado,Patata,kg,S45,0.4,2015-11-09
536,2015,consumo,Patata,kg,S45,0.94,2015-11-09
537,2014,origen,Patata ,kg,S45,0.1,2014-11-10
538,2014,mercado,Patata,kg,S45,0.21,2014-11-10
539,2014,consumo,Patata,kg,S45,0.86,2014-11-10
540,2017,origen,Patata ,kg,S46,,2017-11-13
541,2017,mercado,Patata,kg,S46,,2017-11-13
542,2017,consumo,Patata,kg,S46,,2017-11-13
543,2016,origen,Patata ,kg,S46,0.22,2016-11-14
544,2016,mercado,Patata,kg,S46,0.4,2016-11-14
545,2016,consumo,Patata,kg,S46,1.05,2016-11-14
546,2015,origen,Patata ,kg,S46,0.2,2015-11-16
547,2015,mercado,Patata,kg,S46,0.39,2015-11-16
548,2015,consumo,Patata,kg,S46,0.95,2015-11-16
549,2014,origen,Patata ,kg,S46,0.1,2014-11-17
550,2014,mercado,Patata,kg,S46,0.24,2014-11-17
551,2014,consumo,Patata,kg,S46,0.86,2014-11-17
552,2017,origen,Patata ,kg,S47,,2017-11-20
553,2017,mercado,Patata,kg,S47,,2017-11-20
554,2017,consumo,Patata,kg,S47,,2017-11-20
555,2016,origen,Patata ,kg,S47,0.23,2016-11-21
556,2016,mercado,Patata,kg,S47,0.4,2016-11-21
557,2016,consumo,Patata,kg,S47,1.05,2016-11-21
558,2015,origen,Patata ,kg,S47,0.2,2015-11-23
559,2015,mercado,Patata,kg,S47,0.39,2015-11-23
560,2015,consumo,Patata,kg,S47,0.96,2015-11-23
561,2014,origen,Patata ,kg,S47,0.09,2014-11-24
562,2014,mercado,Patata,kg,S47,0.21,2014-11-24
563,2014,consumo,Patata,kg,S47,0.87,2014-11-24
564,2017,origen,Patata ,kg,S48,,2017-11-27
565,2017,mercado,Patata,kg,S48,,2017-11-27
566,2017,consumo,Patata,kg,S48,,2017-11-27
567,2016,origen,Patata ,kg,S48,0.26,2016-11-28
568,2016,mercado,Patata,kg,S48,0.39,2016-11-28
569,2016,consumo,Patata,kg,S48,1.06,2016-11-28
570,2015,origen,Patata ,kg,S48,0.22,2015-11-30
571,2015,mercado,Patata,kg,S48,0.39,2015-11-30
572,2015,consumo,Patata,kg,S48,0.96,2015-11-30
573,2014,origen,Patata ,kg,S48,0.09,2014-12-01
574,2014,mercado,Patata,kg,S48,0.23,2014-12-01
575,2014,consumo,Patata,kg,S48,0.87,2014-12-01
576,2017,origen,Patata ,kg,S49,,2017-12-04
577,2017,mercado,Patata,kg,S49,,2017-12-04
578,2017,consumo,Patata,kg,S49,,2017-12-04
579,2016,origen,Patata ,kg,S49,0.28,2016-12-05
580,2016,mercado,Patata,kg,S49,0.39,2016-12-05
581,2016,consumo,Patata,kg,S49,1.05,2016-12-05
582,2015,origen,Patata ,kg,S49,0.22,2015-12-07
583,2015,mercado,Patata,kg,S49,0.38,2015-12-07
584,2015,consumo,Patata,kg,S49,0.96,2015-12-07
585,2014,origen,Patata ,kg,S49,0.09,2014-12-08
586,2014,mercado,Patata,kg,S49,0.23,2014-12-08
587,2014,consumo,Patata,kg,S49,0.88,2014-12-08
588,2017,origen,Patata ,kg,S50,,2017-12-11
589,2017,mercado,Patata,kg,S50,,2017-12-11
590,2017,consumo,Patata,kg,S50,,2017-12-11
591,2016,origen,Patata ,kg,S50,0.28,2016-12-12
592,2016,mercado,Patata,kg,S50,0.38,2016-12-12
593,2016,consumo,Patata,kg,S50,1.06,2016-12-12
594,2015,origen,Patata ,kg,S50,0.22,2015-12-14
595,2015,mercado,Patata,kg,S50,0.39,2015-12-14
596,2015,consumo,Patata,kg,S50,0.96,2015-12-14
597,2014,origen,Patata ,kg,S50,0.09,2014-12-15
598,2014,mercado,Patata,kg,S50,0.22,2014-12-15
599,2014,consumo,Patata,kg,S50,0.88,2014-12-15
600,2017,origen,Patata ,kg,S51,,2017-12-18
601,2017,mercado,Patata,kg,S51,,2017-12-18
602,2017,consumo,Patata,kg,S51,,2017-12-18
603,2016,origen,Patata ,kg,S51,0.27,2016-12-19
604,2016,mercado,Patata,kg,S51,0.38,2016-12-19
605,2016,consumo,Patata,kg,S51,1.06,2016-12-19
606,2015,origen,Patata ,kg,S51,0.22,2015-12-21
607,2015,mercado,Patata,kg,S51,0.4,2015-12-21
608,2015,consumo,Patata,kg,S51,0.96,2015-12-21
609,2014,origen,Patata ,kg,S51,0.09,2014-12-22
610,2014,mercado,Patata,kg,S51,0.23,2014-12-22
611,2014,consumo,Patata,kg,S51,0.88,2014-12-22
612,2017,origen,Patata ,kg,S52,,2017-12-25
613,2017,mercado,Patata,kg,S52,,2017-12-25
614,2017,consumo,Patata,kg,S52,,2017-12-25
615,2016,origen,Patata ,kg,S52,0.27,2016-12-26
616,2016,mercado,Patata,kg,S52,0.38,2016-12-26
617,2016,consumo,Patata,kg,S52,1.06,2016-12-26
618,2015,origen,Patata ,kg,S52,0.22,2015-12-28
619,2015,mercado,Patata,kg,S52,0.4,2015-12-28
620,2015,consumo,Patata,kg,S52,0.96,2015-12-28
621,2014,origen,Patata ,kg,S52,0.09,2014-12-29
622,2014,mercado,Patata,kg,S52,0.22,2014-12-29
623,2014,consumo,Patata,kg,S52,0.88,2014-12-29
