,YEAR,TIPO,product,unit,variable,value,DATE
105,2014,origen,Patata ,kg,S9,0.18,2014-03-03
106,2014,mercado,Patata,kg,S9,0.33,2014-03-03
107,2014,consumo,Patata,kg,S9,1.01,2014-03-03
108,2017,origen,Patata ,kg,S10,0.38,2017-03-06
109,2017,mercado,Patata,kg,S10,0.47,2017-03-06
110,2017,consumo,Patata,kg,S10,1.06,2017-03-06
111,2016,origen,Patata ,kg,S10,0.31,2016-03-07
112,2016,mercado,Patata,kg,S10,0.44,2016-03-07
113,2016,consumo,Patata,kg,S10,0.99,2016-03-07
114,2015,origen,Patata ,kg,S10,0.14,2015-03-09
115,2015,mercado,Patata,kg,S10,0.3,2015-03-09
116,2015,consumo,Patata,kg,S10,0.88,2015-03-09
117,2014,origen,Patata ,kg,S10,0.33,2014-03-10
118,2014,mercado,Patata,kg,S10,0.34,2014-03-10
119,2014,consumo,Patata,kg,S10,1.0,2014-03-10
120,2017,origen,Patata ,kg,S11,0.42,2017-03-13
121,2017,mercado,Patata,kg,S11,0.46,2017-03-13
122,2017,consumo,Patata,kg,S11,1.06,2017-03-13
123,2016,origen,Patata ,kg,S11,0.32,2016-03-14
124,2016,mercado,Patata,kg,S11,0.43,2016-03-14
125,2016,consumo,Patata,kg,S11,0.99,2016-03-14
126,2015,origen,Patata ,kg,S11,0.18,2015-03-16
127,2015,mercado,Patata,kg,S11,0.28,2015-03-16
128,2015,consumo,Patata,kg,S11,0.88,2015-03-16
129,2014,origen,Patata ,kg,S11,0.36,2014-03-17
130,2014,mercado,Patata,kg,S11,0.33,2014-03-17
131,2014,consumo,Patata,kg,S11,1.0,2014-03-17
132,2017,origen,Patata ,kg,S12,0.58,2017-03-20
133,2017,mercado,Patata,kg,S12,0.48,2017-03-20
134,2017,consumo,Patata,kg,S12,1.06,2017-03-20
135,2016,origen,Patata ,kg,S12,0.42,2016-03-21
136,2016,mercado,Patata,kg,S12,0.41,2016-03-21
137,2016,consumo,Patata,kg,S12,0.99,2016-03-21
138,2015,origen,Patata ,kg,S12,0.24,2015-03-23
139,2015,mercado,Patata,kg,S12,0.31,2015-03-23
140,2015,consumo,Patata,kg,S12,0.87,2015-03-23
141,2014,origen,Patata ,kg,S12,0.34,2014-03-24
142,2014,mercado,Patata,kg,S12,0.36,2014-03-24
143,2014,consumo,Patata,kg,S12,1.0,2014-03-24
144,2017,origen,Patata ,kg,S13,0.43,2017-03-27
145,2017,mercado,Patata,kg,S13,0.49,2017-03-27
146,2017,consumo,Patata,kg,S13,1.06,2017-03-27
147,2016,origen,Patata ,kg,S13,0.43,2016-03-28
148,2016,mercado,Patata,kg,S13,0.43,2016-03-28
149,2016,consumo,Patata,kg,S13,1.0,2016-03-28
150,2015,origen,Patata ,kg,S13,0.45,2015-03-30
151,2015,mercado,Patata,kg,S13,0.3,2015-03-30
152,2015,consumo,Patata,kg,S13,0.88,2015-03-30
153,2014,origen,Patata ,kg,S13,0.31,2014-03-31
154,2014,mercado,Patata,kg,S13,0.36,2014-03-31
155,2014,consumo,Patata,kg,S13,1.0,2014-03-31
156,2017,origen,Patata ,kg,S14,0.51,2017-04-03
157,2017,mercado,Patata,kg,S14,0.5,2017-04-03
158,2017,consumo,Patata,kg,S14,1.06,2017-04-03
159,2016,origen,Patata ,kg,S14,0.58,2016-04-04
160,2016,mercado,Patata,kg,S14,0.45,2016-04-04
161,2016,consumo,Patata,kg,S14,1.0,2016-04-04
162,2015,origen,Patata ,kg,S14,0.5,2015-04-06
163,2015,mercado,Patata,kg,S14,0.3,2015-04-06
164,2015,consumo,Patata,kg,S14,0.88,2015-04-06
165,2014,origen,Patata ,kg,S14,0.46,2014-04-07
166,2014,mercado,Patata,kg,S14,0.36,2014-04-07
167,2014,consumo,Patata,kg,S14,1.01,2014-04-07
168,2017,origen,Patata ,kg,S15,0.54,2017-04-10
169,2017,mercado,Patata,kg,S15,0.52,2017-04-10
170,2017,consumo,Patata,kg,S15,1.07,2017-04-10
171,2016,origen,Patata ,kg,S15,0.53,2016-04-11
172,2016,mercado,Patata,kg,S15,0.47,2016-04-11
173,2016,consumo,Patata,kg,S15,1.0,2016-04-11
174,2015,origen,Patata ,kg,S15,0.47,2015-04-13
175,2015,mercado,Patata,kg,S15,0.32,2015-04-13
176,2015,consumo,Patata,kg,S15,0.87,2015-04-13
177,2014,origen,Patata ,kg,S15,0.47,2014-04-14
178,2014,mercado,Patata,kg,S15,0.35,2014-04-14
179,2014,consumo,Patata,kg,S15,1.0,2014-04-14
180,2017,origen,Patata ,kg,S16,0.58,2017-04-17
181,2017,mercado,Patata,kg,S16,0.52,2017-04-17
182,2017,consumo,Patata,kg,S16,1.06,2017-04-17
183,2016,origen,Patata ,kg,S16,0.47,2016-04-18
184,2016,mercado,Patata,kg,S16,0.47,2016-04-18
185,2016,consumo,Patata,kg,S16,1.0,2016-04-18
186,2015,origen,Patata ,kg,S16,0.46,2015-04-20
187,2015,mercado,Patata,kg,S16,0.32,2015-04-20
188,2015,consumo,Patata,kg,S16,0.88,2015-04-20
189,2014,origen,Patata ,kg,S16,0.45,2014-04-21
190,2014,mercado,Patata,kg,S16,0.36,2014-04-21
191,2014,consumo,Patata,kg,S16,1.0,2014-04-21
192,2017,origen,Patata ,kg,S17,0.58,2017-04-24
193,2017,mercado,Patata,kg,S17,0.52,2017-04-24
194,2017,consumo,Patata,kg,S17,1.06,2017-04-24
195,2016,origen,Patata ,kg,S17,0.46,2016-04-25
196,2016,mercado,Patata,kg,S17,0.47,2016-04-25
197,2016,consumo,Patata,kg,S17,1.01,2016-04-25
198,2015,origen,Patata ,kg,S17,0.43,2015-04-27
199,2015,mercado,Patata,kg,S17,0.34,2015-04-27
200,2015,consumo,Patata,kg,S17,0.88,2015-04-27
201,2014,origen,Patata ,kg,S17,0.42,2014-04-28
202,2014,mercado,Patata,kg,S17,0.35,2014-04-28
203,2014,consumo,Patata,kg,S17,1.0,2014-04-28
204,2017,origen,Patata ,kg,S18,0.52,2017-05-01
205,2017,mercado,Patata,kg,S18,0.51,2017-05-01
206,2017,consumo,Patata,kg,S18,1.07,2017-05-01
207,2016,origen,Patata ,kg,S18,0.48,2016-05-02
208,2016,mercado,Patata,kg,S18,0.46,2016-05-02
209,2016,consumo,Patata,kg,S18,1.01,2016-05-02
210,2015,origen,Patata ,kg,S18,0.42,2015-05-04
211,2015,mercado,Patata,kg,S18,0.37,2015-05-04
212,2015,consumo,Patata,kg,S18,0.88,2015-05-04
213,2014,origen,Patata ,kg,S18,0.34,2014-05-05
214,2014,mercado,Patata,kg,S18,0.33,2014-05-05
215,2014,consumo,Patata,kg,S18,0.99,2014-05-05
216,2017,origen,Patata ,kg,S19,0.43,2017-05-08
217,2017,mercado,Patata,kg,S19,0.52,2017-05-08
218,2017,consumo,Patata,kg,S19,1.07,2017-05-08
219,2016,origen,Patata ,kg,S19,0.56,2016-05-09
220,2016,mercado,Patata,kg,S19,0.51,2016-05-09
221,2016,consumo,Patata,kg,S19,1.01,2016-05-09
222,2015,origen,Patata ,kg,S19,0.37,2015-05-11
223,2015,mercado,Patata,kg,S19,0.38,2015-05-11
224,2015,consumo,Patata,kg,S19,0.89,2015-05-11
225,2014,origen,Patata ,kg,S19,0.26,2014-05-12
226,2014,mercado,Patata,kg,S19,0.31,2014-05-12
227,2014,consumo,Patata,kg,S19,0.99,2014-05-12
228,2017,origen,Patata ,kg,S20,0.38,2017-05-15
229,2017,mercado,Patata,kg,S20,0.49,2017-05-15
230,2017,consumo,Patata,kg,S20,1.07,2017-05-15
231,2016,origen,Patata ,kg,S20,0.41,2016-05-16
232,2016,mercado,Patata,kg,S20,0.54,2016-05-16
233,2016,consumo,Patata,kg,S20,1.03,2016-05-16
234,2015,origen,Patata ,kg,S20,0.33,2015-05-18
235,2015,mercado,Patata,kg,S20,0.39,2015-05-18
236,2015,consumo,Patata,kg,S20,0.89,2015-05-18
237,2014,origen,Patata ,kg,S20,0.24,2014-05-19
238,2014,mercado,Patata,kg,S20,0.3,2014-05-19
239,2014,consumo,Patata,kg,S20,0.98,2014-05-19
240,2017,origen,Patata ,kg,S21,0.36,2017-05-22
241,2017,mercado,Patata,kg,S21,0.48,2017-05-22
242,2017,consumo,Patata,kg,S21,1.07,2017-05-22
243,2016,origen,Patata ,kg,S21,0.36,2016-05-23
244,2016,mercado,Patata,kg,S21,0.53,2016-05-23
245,2016,consumo,Patata,kg,S21,1.04,2016-05-23
