Mes,Importado,Exportado
01-Ene-2015,15,29
01-Feb-2015,1,3
01-Mar-2015,1,15
01-Abr-2015,0,2
01-May-2015,0,51
01-Jun-2015,0,207
01-Jul-2015,63,124
01-Ago-2015,266,342
01-Sep-2015,131,75
01-Oct-2015,0,123
01-Nov-2015,31,2
01-Dic-2015,0,74
