fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,1  Marítimo,"20932,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,003 Países Bajos,1  Marítimo,"20932,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,3  Carretera,"4034123,71"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,003 Países Bajos,3  Carretera,"367242,32"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,003 Países Bajos,3  Carretera,"117151,87"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,003 Países Bajos,3  Carretera,"318112,48"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,003 Países Bajos,3  Carretera,"271334,28"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,003 Países Bajos,3  Carretera,"1534811,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,003 Países Bajos,3  Carretera,"1425471,76"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,Total modo transporte,"32391760,51"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,004 Alemania,Total modo transporte,"53571,83"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,004 Alemania,Total modo transporte,"53478,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,004 Alemania,Total modo transporte,"3470,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,004 Alemania,Total modo transporte,"106543,75"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,004 Alemania,Total modo transporte,"6868639,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,004 Alemania,Total modo transporte,"25306057,93"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,1  Marítimo,"474134,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,004 Alemania,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,004 Alemania,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,004 Alemania,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,004 Alemania,1  Marítimo,
