Tiempo;Peso, Tm;Peso, Tm
2015;19,334.05;1,502.17
Enero;1,089.60;21.81
Febrero;658.91;213.68
Marzo;678.04;95.37
Abril;417.44;119.02
Mayo;210.21;64.56
Junio;187.75;83.75
Julio;94.21;289.06
Agosto;1,209.78;66.10
Septiembre;3,280.54;34.51
Octubre;4,810.25;188.22
Noviembre;3,837.97;237.42
Diciembre;2,859.34;88.65
