,producto,fecha,pais,transporte,kg
135,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Irlanda, Carretera,0.0
136,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Irlanda, Carretera,0.0
137,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Irlanda, Carretera,0.0
138,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Irlanda, Carretera,0.0
139,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Irlanda, Carretera,1620.0
148,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Dinamarca, Marítimo,930354.0
149,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Dinamarca, Marítimo,1030375.0
150,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Dinamarca, Marítimo,923125.0
151,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Dinamarca, Marítimo,245120.0
152,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Dinamarca, Marítimo,0.0
153,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Dinamarca, Marítimo,0.0
155,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Dinamarca, Carretera,24400.0
156,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Dinamarca, Carretera,24000.0
157,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Dinamarca, Carretera,26250.0
158,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Dinamarca, Carretera,24000.0
159,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Dinamarca, Carretera,48375.0
160,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Dinamarca, Carretera,24000.0
169,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Portugal (d.01/01/86), Marítimo,23100.0
170,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Portugal (d.01/01/86), Marítimo,0.0
171,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Portugal (d.01/01/86), Marítimo,0.0
172,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Portugal (d.01/01/86), Marítimo,139670.0
173,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Portugal (d.01/01/86), Marítimo,0.0
174,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Portugal (d.01/01/86), Marítimo,0.0
176,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Portugal (d.01/01/86), Carretera,1538622.5
177,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Portugal (d.01/01/86), Carretera,74020.0
178,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Portugal (d.01/01/86), Carretera,1006993.0
179,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Portugal (d.01/01/86), Carretera,850585.0
180,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Portugal (d.01/01/86), Carretera,1094179.0
181,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Portugal (d.01/01/86), Carretera,2787543.2
190,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Bélgica (d.01/01/99), Marítimo,0.0
