id,Producto,CAL
0,ACELGA,1
1,AJO,3
2,ALCACHOFA,5
3,APIO,6
4,BATATA,7
5,BERENJENA,8
6,BROCOLI,9
7,CALABACIN,10
8,CALABAZA,11
9,CEBOLLA,14
10,CHAMPINON,16
11,COL,18
12,COL DE BRUSELAS,19
13,COLIFLOR,20
14,ENDIBIA,21
15,ESPARRAGO,22
16,ESPINACA,23
17,GUISANTE,26
18,HABAS,27
19,JUDIAS,29
20,LECHUGA,31
21,MAIZ,34
22,NABO,40
23,PATATA,44
24,PEPINO,45
25,PIMIENTO,47
26,PUERRO,51
27,RABANO,52
28,REMOLACHA,53
29,TOMATE,55
30,ZANAHORIA,57
