Mes,Importado,Exportado
01-Ene-2015,40,187
01-Feb-2015,249,61
01-Mar-2015,254,253
01-Abr-2015,146,1451
01-May-2015,2663,61048
01-Jun-2015,2061,99506
01-Jul-2015,3514,124344
01-Ago-2015,1937,97389
01-Sep-2015,1272,60059
01-Oct-2015,57,20757
01-Nov-2015,159,4246
01-Dic-2015,615,861
